trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
20,2199927.93210016,1483760.1263203719,0.0,0.0,False,False,,0.0,6.80290762779232,6.015582195547919,2.964908278130782,0.03567878693390922,0.09393180293261334,0.08310037254332203,0.011989650070482596,6.546194929281267e-05,3.2768032550811768,2.7075119018554688,0.00021517766257034875,0.1214704418805972,0.0,0.0,0.0022363446196280163,0.004447007494221273,0.9809018269747789,12.941591024398804
21,2610970.36653676,1483760.1263203719,0.0,0.0,False,False,,0.0,6.140296241697207,5.324807632833336,2.6566014302790975,0.041227946322289204,0.08029434652615232,0.07507348757867516,0.016098463135580776,5.8750150737356765e-05,2.957537889480591,2.259732484817505,8.390128385738011e-05,0.14052828463525774,0.0,0.0,0.002770797416120188,0.004765391748331925,0.878785956388189,12.74047565460205
22,3133983.0044689043,1483760.1263203719,0.0,0.0,False,False,,0.0,6.38508285706041,7.064861612190075,2.711554834150119,0.08318093861909637,0.08355325759645327,0.07635264139969385,0.021325828818233694,0.00026769652719955186,3.078012466430664,2.998425006866455,0.000344031509096123,0.14329069556368135,0.0,0.0,0.005455574860828694,0.009884084933116702,1.114479727700079,12.749019622802734
23,2835266.157417429,1483760.1263203719,0.0,0.0,False,False,,0.0,6.339468988292291,6.07220203034698,2.66675937130455,0.10296557237762244,0.08236787579939603,0.0750708687679219,0.018340235634254173,0.00011294518430447695,3.0571281909942627,2.5771918296813965,0.0001613178542956647,0.14670099147302756,0.0,0.0,0.00633194097053025,0.013077511153345107,0.8315290361485107,12.744176864624023
24,3650529.1852524662,1483760.1263203719,0.0,0.0,False,False,,0.0,6.305903378355481,9.56744396154256,2.717560693351146,0.11334493873419418,0.08330657232003354,0.07657128679354244,0.02648868087701281,0.0003397125379595915,3.0380947589874268,4.119796991348267,0.0006831869990772368,0.15016917530816004,0.0,0.0,0.007578745776629272,0.013178743130290002,1.0168514783128764,12.739250421524048
25,3233742.975755788,1483760.1263203719,0.0,0.0,False,False,,0.0,6.181696793757339,7.03638768142955,2.663814597837868,0.049878414319263764,0.08179600951573827,0.07506637484578925,0.02232294496155239,0.0005276352115468963,2.9782488346099854,2.9585227966308594,0.000638968018042263,0.14549379232381682,0.0,0.0,0.003254983138481047,0.005959637302853847,0.7796607950320323,12.754582405090332
26,1916745.7257042432,1483760.1263203719,0.0,0.0,False,False,,0.0,6.791798585299492,8.096392609698388,2.900853832722169,0.04808024086459368,0.09148654870335897,0.08137178210544596,0.009159230382622396,0.0004840593848629969,3.273841619491577,3.816661834716797,0.0010214842267350218,0.11294441266031778,0.0,0.0,0.002996172125728209,0.006027715964692001,0.8730878382412763,12.746283769607544
27,3276900.7208502204,1483760.1263203719,0.0,0.0,False,False,,0.0,7.99584580108176,11.865549271690497,3.2583549781298053,0.04165067533529602,0.1043947290514301,0.09113327875617597,0.022753431529675683,0.0008580886659598089,3.861222982406616,5.360628604888916,0.0013240970857760917,0.09581248620552657,0.0,0.0,0.0027386850517968873,0.00493529873023023,0.9590516406030531,12.839092016220093
28,2043117.798162144,1483760.1263203719,0.0,0.0,False,False,,0.0,8.2470596116431,13.66962985581705,3.0164900182220746,0.07264187748466486,0.09804093850149471,0.08413641590699407,0.010421991605463393,0.000986844922588471,3.9973251819610596,6.567432641983032,0.0027329983155631394,0.08202081648648543,0.0,0.0,0.003914726820255115,0.010331015730655986,0.7358623531452365,12.736138343811035
29,3148027.138540142,1483760.1263203719,0.0,0.0,False,False,,0.0,6.731272616128149,8.41098040843969,3.0504953898981166,0.19744359676799678,0.09495446448918153,0.08574864537849124,0.021465795594059048,9.625233265754775e-05,3.237013339996338,3.668593406677246,0.00010076307644925124,0.13943768084343006,0.0,0.0,0.01148846904653614,0.026383961098926916,0.9788109115359089,12.735849380493164
