number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_i_clamp_ori,params_i_clamp_pos,params_i_gain_ori,params_i_gain_pos,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
37,2061365.578809238,2000-01-01 00:00:37.000000,2000-01-01 00:00:37.000000,0 days 00:00:00,41.61580613253324,44.67013843562136,0.0065289350803955,0.0070458784450564,67.27006342101267,1590.4540204205523,1148.9974318041368,432.3149013528673,0.3161679564422331,0.0215614977894857,1.1103660639845678,COMPLETE
38,2379310.643896169,2000-01-01 00:00:38.000000,2000-01-01 00:00:38.000000,0 days 00:00:00,31.933092511427606,45.37783516862687,0.0060634518446594,0.0170306609922705,69.73334489913633,882.6812845158875,1486.619431856734,354.68564668801093,0.4863575168027723,0.0739606458638953,0.9620693945813864,COMPLETE
39,2540440.820966083,2000-01-01 00:00:39.000000,2000-01-01 00:00:39.000000,0 days 00:00:00,21.573177965366764,24.724515956994008,0.0062341454775371,0.0105456536257351,48.13238956783661,1408.39229752683,1027.9639022248855,431.7713487959792,0.488649648324722,0.0668022341213196,0.8725173066477097,COMPLETE
40,2817348.9854291803,2000-01-01 00:00:40.000000,2000-01-01 00:00:40.000000,0 days 00:00:00,48.53418921808011,47.97791560115485,0.0053451125586888,0.0084916066937915,32.78358699157581,1505.7160319794398,1369.0927431325158,313.37409681611,0.2732673807451635,0.0905224499815428,0.9199919375355516,COMPLETE
41,2546384.307372677,2000-01-01 00:00:41.000000,2000-01-01 00:00:41.000000,0 days 00:00:00,41.87818525656097,41.63886381487239,0.0059487282067753,0.0090417333787071,95.11497422170804,1784.5541205371767,1394.5011089746508,437.492394810495,0.1840635807820328,0.0441224724430186,1.1188818651423509,COMPLETE
42,8317931.075024451,2000-01-01 00:00:42.000000,2000-01-01 00:00:42.000000,0 days 00:00:00,49.79359444743844,70.65555971032839,0.004463668074305,0.005361795538048,92.29797519476637,1799.7323507085146,1287.6408604923083,470.15487144020807,0.2667389653393969,0.0315288467724052,1.0969688003115554,COMPLETE
43,3026761.617525886,2000-01-01 00:00:43.000000,2000-01-01 00:00:43.000000,0 days 00:00:00,36.62079889581452,16.396036597179126,0.007426676225918,0.0100790012774994,54.93438500399539,1310.093548826012,2137.311412777497,441.3990443376845,0.2690098034115799,0.0957250895850082,1.1542108153716255,COMPLETE
44,3378991.359450572,2000-01-01 00:00:44.000000,2000-01-01 00:00:44.000000,0 days 00:00:00,43.93068715041308,44.72779708405734,0.0068208726226522,0.0142347346688014,115.009222116453,1933.7004954681088,1191.700920362476,468.8904490141943,0.3710959167015881,0.0487048375448333,1.186302646887689,COMPLETE
45,3054137.881676663,2000-01-01 00:00:45.000000,2000-01-01 00:00:45.000000,0 days 00:00:00,29.273428629158115,33.56865738153557,0.0054769910089861,0.0062749545860216,40.818595611823504,1718.65922656445,1055.1458531813262,421.4900977122692,0.2127746200461872,0.0606346737900416,1.0616727503467749,COMPLETE
46,1661845.4967414464,2000-01-01 00:00:46.000000,2000-01-01 00:00:46.000000,0 days 00:00:00,36.94326363785558,14.564909988863672,0.0043500655163036,0.0035402662701665,13.5152160137338,1487.3263266967165,1596.0182086921614,378.5726473594461,0.3195215596101773,0.0973995430672718,1.0479793034724094,COMPLETE
