trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,exploration_distance,trial_duration_sec
34,367.8403896168077,315.44982048687905,0.0,0.0,False,False,,0.6,6.935616573997849,5.582416846784921,2.9461759927802618,0.09707261156434113,0.08188711315675373,0.0,0.00010564450690938236,3.344977617263794,2.790583610534668,0.0002499251431170184,0.10078944785517084,0.0,0.0,0.595037799074469,29.12258815765381
35,357.4719664851554,315.44982048687905,0.0,0.0,False,False,,0.5833333333333334,6.902777116844378,4.420064634595162,2.890399466971748,0.09430474104323357,0.08049866932939245,0.0,3.2964691370244507e-05,3.3306405544281006,2.2098910808563232,5.649457650317756e-05,0.09968049769098962,0.0,0.0,0.7111843150371304,27.58161735534668
36,328.4958381488184,315.44982048687905,0.0,0.0,False,False,,0.5675675675675675,6.378501013511677,4.6369740540446625,2.655134784503404,0.08647732866774217,0.07396350820669172,0.0,3.391831158840988e-05,3.078305244445801,2.318340301513672,5.869020346382698e-05,0.11569473110061114,0.0,0.0,0.6346922433574338,28.734862089157104
37,349.90015398298715,315.44982048687905,0.0,0.0,False,False,,0.5526315789473685,6.732356213886577,4.6589392998626655,2.825419367556767,0.09226763235130464,0.07865989981725412,0.0,4.2176093840954115e-05,3.2481882572174072,2.3292853832244873,7.37066827382052e-05,0.11025318218436213,0.0,0.0,0.2507185750633249,29.00513505935669
38,350.9360680366781,315.44982048687905,0.0,0.0,False,False,,0.5384615384615384,6.790658020239242,5.393785279029332,2.8225161582234444,0.09238007246575895,0.07854986961059045,0.0,7.316948019635545e-05,3.2775042057037354,2.696537971496582,0.00014186720723371934,0.1047890698670102,0.0,0.0,0.5254302660945522,28.664714336395264
39,398.91364711304124,315.44982048687905,0.0,0.0,False,False,,0.525,7.84301677077894,6.905738898322644,3.1666341209643716,0.1047646032696366,0.08797936548751124,0.0,0.0002145068940264795,3.789539337158203,3.4512627124786377,0.000642694673073828,0.07697781020509135,0.0,0.0,1.2159360025708787,26.297831058502197
40,1000000000.0,315.44982048687905,0.0,0.0,False,True,"Constraints violated: overshoot=0.0054, vel_ratio=0.00",0.5365853658536586,,,,,,,,,,,,,,0.9839230435657571,29.245697498321533
41,1000000000.0,315.44982048687905,0.0,0.0,False,True,"Command '['python3', '/home/vinbui/vinh_ws/src/thesis_project/robot_planning/scripts/run_tracking_trial.py', '--ros-args', '-p', 'trial_index:=41', '-p', 'duration:=10.0']' timed out after 30.0 seconds",0.5476190476190477,,,,,,,,,,,,,,0.9493979354735863,43.56577920913696
42,1000000000.0,315.44982048687905,0.0,0.0,False,True,"Command '['python3', '/home/vinbui/vinh_ws/src/thesis_project/robot_planning/scripts/run_tracking_trial.py', '--ros-args', '-p', 'trial_index:=42', '-p', 'duration:=10.0']' timed out after 30.0 seconds",0.5581395348837209,,,,,,,,,,,,,,0.2592873505440394,43.226057052612305
43,396.89698895128856,315.44982048687905,0.0,0.0,False,False,,0.5454545454545454,7.676649125635762,6.376374724941949,3.1606470279644063,0.10491809006459497,0.08775759810213876,0.0,0.00013990581852647672,3.706688165664673,3.1874639987945557,0.00028934547056759665,0.07847835281891662,0.0,0.0,0.4549865749108761,25.809966325759888
