number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
14,1000000000.0,2000-01-01 00:00:14.000000,2000-01-01 00:00:14.000000,0 days 00:00:00,34.53483152593731,19.933762704787465,1488.8511840032056,286.5243091425225,0.2013166410159128,0.0656577242210744,0.6112787085518638,COMPLETE
15,1000000000.0,2000-01-01 00:00:15.000000,2000-01-01 00:00:15.000000,0 days 00:00:00,9.324428355228338,85.41504167489235,2641.9864596958705,247.49006826438568,0.1786329446720214,0.0146801121835127,0.5679708930551429,COMPLETE
16,1000000000.0,2000-01-01 00:00:16.000000,2000-01-01 00:00:16.000000,0 days 00:00:00,10.243671967444271,38.32930496765515,2054.7528549879853,309.55940488786894,0.1112723000297054,0.0234585262631325,0.9921397798442586,COMPLETE
17,399.2547792456549,2000-01-01 00:00:17.000000,2000-01-01 00:00:17.000000,0 days 00:00:00,16.771151539868065,90.79788787470174,2251.0789700363607,235.66136963651,0.3707360260480647,0.0643781611657953,0.6734673255544614,COMPLETE
18,1000000000.0,2000-01-01 00:00:18.000000,2000-01-01 00:00:18.000000,0 days 00:00:00,7.526791030380771,83.06005890558151,1927.3230380940704,153.876217916731,0.2972785542206009,0.0692176748914012,0.6068031135464977,COMPLETE
19,1000000000.0,2000-01-01 00:00:19.000000,2000-01-01 00:00:19.000000,0 days 00:00:00,7.618075638845797,95.28876378341933,2816.767692595434,249.65059774523868,0.1913427333211834,0.0681801846234605,0.8713737071564966,COMPLETE
20,1000000000.0,2000-01-01 00:00:20.000000,2000-01-01 00:00:20.000000,0 days 00:00:00,12.61085646189531,28.22542094675279,2335.699056039064,154.32793202601383,0.2703227128986433,0.0409784478169476,0.913743741672048,COMPLETE
21,1000000000.0,2000-01-01 00:00:21.000000,2000-01-01 00:00:21.000000,0 days 00:00:00,5.15073882587846,81.27331218605171,2954.5180052035057,154.42064945632364,0.440201573219901,0.0763544268231047,0.7802359907302264,COMPLETE
22,1000000000.0,2000-01-01 00:00:22.000000,2000-01-01 00:00:22.000000,0 days 00:00:00,23.200708671082864,99.31761359916116,2592.4687663345344,360.4034825288709,0.4422688034843076,0.0867915791188612,0.6186335550143889,COMPLETE
23,378.0146816664396,2000-01-01 00:00:23.000000,2000-01-01 00:00:23.000000,0 days 00:00:00,9.146437640175538,59.60730159230517,2996.968990492454,220.29999501636772,0.2646566664065499,0.0348312904642995,0.9315783110984268,COMPLETE
24,1000000000.0,2000-01-01 00:00:24.000000,2000-01-01 00:00:24.000000,0 days 00:00:00,20.00016624288998,54.18391820807584,2930.6147529043383,126.17494817887336,0.2405590617716068,0.0411472881870787,1.1283232325502794,COMPLETE
25,1000000000.0,2000-01-01 00:00:25.000000,2000-01-01 00:00:25.000000,0 days 00:00:00,8.3256611840407,79.22917322850498,2282.178895245497,232.26253394650035,0.3765799288839229,0.0129591246013258,0.8173350197940432,COMPLETE
26,378.8173884935951,2000-01-01 00:00:26.000000,2000-01-01 00:00:26.000000,0 days 00:00:00,6.872549040300033,73.22811364281297,1987.7909202955248,100.59523025842236,0.2099518072126396,0.0516850821446012,1.1280538540454823,COMPLETE
27,330.4703781622691,2000-01-01 00:00:27.000000,2000-01-01 00:00:27.000000,0 days 00:00:00,9.242455966390736,84.53563070975332,1517.6480256412417,106.85033091859576,0.1439434898401028,0.0449543898842109,1.078228968071223,COMPLETE
28,393.0086603363792,2000-01-01 00:00:28.000000,2000-01-01 00:00:28.000000,0 days 00:00:00,6.403459565039918,79.2822282711634,1348.368633193207,200.74973832893795,0.1442098003462038,0.0409331682777118,1.021305056762596,COMPLETE
29,356.81828527011965,2000-01-01 00:00:29.000000,2000-01-01 00:00:29.000000,0 days 00:00:00,7.32604995918475,54.329301207657466,2359.7634813301606,276.56975070437653,0.3378057178085849,0.0864595235362967,0.9335546742985922,COMPLETE
30,1000000000.0,2000-01-01 00:00:30.000000,2000-01-01 00:00:30.000000,0 days 00:00:00,6.779273408830251,46.84706756266364,1932.3680240629571,304.36590549204374,0.3093022703360791,0.0862160666233644,1.0197760308296804,COMPLETE
