trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,exploration_distance,trial_duration_sec
20,31.04852787076906,23.72510097273384,0.0,0.0,False,False,,0.09523809523809523,4.690496551976006,0.12594652175903448,0.3191261776126792,0.006904923242294292,0.006836609040829929,1.3877787807814457e-17,1.3668035872266427e-17,2.334993362426758,0.0629732608795166,1.1816730212594489e-16,0.33734239893042023,0.0,0.0,0.6700987619597751,25.06612730026245
21,1000000000.0,23.72510097273384,0.0,0.0,False,True,"Constraints violated: overshoot=0.0020, vel_ratio=0.00",0.13636363636363635,,,,,,,,,,,,,,0.7097939930623206,25.175301790237427
22,28.65221678815037,23.72510097273384,0.0,0.0,False,False,,0.13043478260869565,4.66959842983338,0.0920667648315444,0.28123092845296943,0.006310279971856264,0.006248742154746633,2.7755575615628914e-17,2.796296760755585e-17,2.3254261016845703,0.046033382415771484,8.244230380879875e-18,0.38886241430129387,0.0,0.0,0.46828040620827394,25.36169409751892
23,28.898352025056262,23.72510097273384,0.0,0.0,False,False,,0.125,4.632318105021202,0.07921504974365445,0.30104671576954145,0.006387114491088292,0.006312239739326597,4.163336342344337e-17,8.092071311423672e-18,2.3066906929016113,0.03960752487182617,5.7709612666159124e-18,0.342162132783771,0.0,0.0,0.2856567608306229,27.759652137756348
24,1000000000.0,23.72510097273384,0.0,0.0,False,True,"Constraints violated: overshoot=0.0017, vel_ratio=0.00",0.16,,,,,,,,,,,,,,0.5049696692678054,27.329110622406006
25,32.93419763340475,23.72510097273384,0.0,0.0,False,False,,0.15384615384615385,4.674238589403091,0.1159982681274414,0.3359793372431391,0.007385982061872956,0.007307498652755474,0.0,2.7755575615628914e-17,2.326158046722412,0.0579991340637207,0.0,0.33889109399057715,0.0,0.0,0.36288971844364676,26.34885883331299
26,31.234058177382646,23.72510097273384,0.0,0.0,False,False,,0.14814814814814814,4.705057051250726,0.08830881118774873,0.3205928335982709,0.006952169015829537,0.006886133375893221,1.3877787807814457e-17,1.4288057044435642e-17,2.3421993255615234,0.04415440559387207,7.812782324280495e-16,0.33723698005196906,0.0,0.0,0.5975827674011903,28.262904405593872
27,31.787292673255074,23.72510097273384,0.0,0.0,False,False,,0.14285714285714285,4.675441681912969,0.07621065107779793,0.30296080807063985,0.006430785537663539,0.006379107492311363,5.276984528641837e-05,2.943923360032078e-17,2.3281521797180176,0.03678607940673828,9.013825284881429e-17,0.3845759033286051,0.0,0.0,1.1355396365104018,25.210586309432983
28,1000000000.0,23.72510097273384,0.0,0.0,False,True,"Constraints violated: overshoot=0.0012, vel_ratio=0.00",0.1724137931034483,,,,,,,,,,,,,,0.7581726156344923,25.266113758087158
29,53.240843144816964,23.72510097273384,0.0,0.0,False,False,,0.16666666666666666,4.629403644268142,0.08562461975776352,0.2817763545087937,0.00581219377576261,0.005764025272404799,0.0005319961793349565,3.078242246215395e-17,2.306055784225464,0.029512405395507812,1.3200822548896678e-17,0.35713589643876686,0.0,0.0,0.6435823248867004,29.12994694709778
30,1000000000.0,23.72510097273384,0.0,0.0,False,True,"Constraints violated: overshoot=0.0026, vel_ratio=0.00",0.1935483870967742,,,,,,,,,,,,,,0.7597553187826046,25.259296894073486
31,29.386826686470197,23.72510097273384,0.0,0.0,False,False,,0.1875,4.66570440775937,0.0821714401245131,0.3040807435715825,0.006529159330907234,0.006401273431996998,2.7755575615628914e-17,2.7755575615628914e-17,2.3232502937316895,0.04108572006225586,2.6433881538694206e-19,0.46916442183893964,0.0,0.0,0.7576358158513463,25.390007495880127
32,1000000000.0,23.72510097273384,0.0,0.0,False,True,"Constraints violated: overshoot=0.0026, vel_ratio=0.00",0.21212121212121213,,,,,,,,,,,,,,0.5464579614226321,25.619481325149536
33,41.41488979294853,23.72510097273384,0.0,0.0,False,False,,0.20588235294117646,4.659984433797165,0.07102810226573815,0.2830575998243002,0.005856063870239843,0.005787638871922844,0.0002923462555198403,1.1015152586160387e-17,2.3213107585906982,0.028205394744873047,8.00907157067899e-18,0.34534827545014257,0.0,0.0,0.45294455423857993,26.13008189201355
