trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
20,1677955.938319713,1477184.1936930867,0.0,0.0,False,False,,0.0,4.569358091871185,1.5783422823539712,0.20953436782250584,1.4290036005907932e-14,0.008148810781415688,0.005284700565948161,0.006775862432725266,1.4144338590681818e-11,2.27675199508667,0.619774580001831,1.4280917649856826e-10,0.3628329048168988,0.0,0.0,9.117731863615395e-16,1.7489626287539045e-15,0.9233847792912976,13.154563426971436
21,13066580.626135116,1477184.1936930867,0.0,0.0,False,False,,0.0,3.9341825138927184,19.48880850332094,1.1747243072057152,1.7604246138552867e-14,0.03380726405421602,0.030768827974818974,0.12059775415081461,0.03183736220230587,1.9209380149841309,6.542510986328125,0.0747797646247921,0.5286292921104838,0.0,0.0,9.699059095487703e-16,2.4612497155406765e-15,1.0585613494628612,13.246294975280762
22,1000000000.0,1477184.1936930867,0.0,0.0,False,True,Velocity safety exceeded,0.043478260869565216,,,,,,,,,,,,,,,,,0.755050270015839,4.931473255157471
23,1464183.1790091046,1464183.1790091046,13001.014683982125,0.008801214323501848,True,False,,0.041666666666666664,4.527279044352456,1.3525582040168374,0.12056435527304249,2.2936146937058692e-14,0.004131864662405436,0.002936252343152707,0.004639331270630251,5.996932613734548e-14,2.259235143661499,0.560295820236206,2.5825354727355537e-12,0.37285218155515437,0.0,0.0,1.349356202557072e-15,3.035324329150529e-15,0.8742119209556268,13.17966890335083
24,1548943.589317101,1464183.1790091046,0.0,0.0,False,False,,0.04,4.570451619586998,1.2898979610011143,0.1591398962192214,5.2144574822346513e-14,0.005417237361700715,0.004223943538683673,0.005486460578040905,1.7471930925834506e-15,2.2788898944854736,0.5077874660491943,1.3606777396355584e-13,0.35094999925710213,0.0,0.0,3.1393368311147256e-15,6.757470043357177e-15,0.627365677265166,13.54884386062622
25,1000000000.0,1464183.1790091046,0.0,0.0,False,True,Velocity safety exceeded,0.07692307692307693,,,,,,,,,,,,,,,,,0.8432494884050156,4.927203416824341
26,1653332.9819467084,1464183.1790091046,0.0,0.0,False,False,,0.07407407407407407,4.571990475217272,1.9688028455671132,0.20654263310794882,6.262082222946128e-14,0.007133485678559002,0.004629130217687608,0.006529787276169416,5.610520024676008e-12,2.2790515422821045,0.8211567401885986,2.76288970937212e-10,0.4931730945477417,0.0,0.0,3.98726640689692e-15,7.68067274357148e-15,0.8886487291699566,16.46769380569458
27,1555289.64602844,1464183.1790091046,0.0,0.0,False,False,,0.07142857142857142,4.565403644437974,0.8768528347119992,0.1193609731328098,2.575711230468362e-14,0.003898195991366911,0.0031808827305453563,0.005549942741603198,1.193812447098184e-17,2.277930498123169,0.29967784881591797,6.641127777157035e-16,0.3479999042040056,0.0,0.0,1.5879510914728304e-15,3.263375893225244e-15,0.9271381706087293,13.555453538894653
28,1625354.516877429,1464183.1790091046,0.0,0.0,False,False,,0.06896551724137931,4.534037424343932,1.8086404358774364,0.17683921869929922,2.1542962560549033e-14,0.0061487572489903036,0.004726831521626451,0.006250161196808449,1.5924948554274553e-11,2.2599284648895264,0.7480661869049072,4.4543991634385623e-10,0.34653817230139655,0.0,0.0,1.4268204470415962e-15,2.5320997460540664e-15,1.2747151281448907,13.15632700920105
29,1000000000.0,1464183.1790091046,0.0,0.0,False,True,Velocity safety exceeded,0.1,,,,,,,,,,,,,,,,,1.3380404281463618,4.900134801864624
30,1513750.052658207,1464183.1790091046,0.0,0.0,False,False,,0.0967741935483871,4.571694636485873,2.3507620703943393,0.19436245277481934,1.2236954184228762e-14,0.0059046844410978825,0.005347816196381497,0.005134663391654332,5.789651204492545e-07,2.2778255939483643,1.047004222869873,4.091014375314004e-06,0.3258870688396682,0.0,0.0,8.274525793132551e-16,1.4043333874306805e-15,1.132560591371542,13.458850383758545
31,1183013.5647806285,1183013.5647806285,281169.6142284761,0.19203171997834276,True,False,,0.09375,4.6560543121684494,0.14722721581910087,0.20705902129711193,1.6830290499680604e-14,0.0058891183065909024,0.005807179271807413,0.0018289516269334588,2.7546957616561035e-06,2.3193163871765137,0.027842283248901367,1.9013594925036795e-05,0.3344666626507277,0.0,0.0,1.086250102734555e-15,2.0350724194510405e-15,0.3181749240401406,13.76159381866455
32,1230962.0639072948,1183013.5647806285,0.0,0.0,False,False,,0.09090909090909091,4.644348819591351,0.7540238170439526,0.19843353407759903,2.3056047996024226e-14,0.005663453391306251,0.005529469760837838,0.002308203928071545,4.250233039327953e-06,2.313880205154419,0.3192324638366699,2.97385934071218e-05,0.3418690356455243,0.0,0.0,1.3643438349277637e-15,3.035324329150529e-15,0.21252430203090036,13.344614744186401
33,1523484.7636740778,1183013.5647806285,0.0,0.0,False,False,,0.08823529411764706,4.592915918588665,1.5801376385812465,0.22727265842594221,2.285008399526626e-14,0.005802100457250251,0.0055756258169900276,0.005231962323981473,4.318403584204054e-06,2.2880945205688477,0.6591973304748535,2.8972286493124075e-05,0.6803092058123698,0.0,0.0,1.4085311231936188e-15,2.8954587524293273e-15,0.6280316603283334,13.254945039749146
34,12638065.731627775,1183013.5647806285,0.0,0.0,False,False,,0.08571428571428572,5.0323721179087775,16.10793384302448,1.7162250631174563,48.758586626015116,0.05897244677981958,0.042685230861763714,0.05892270953681175,0.03172535912934608,2.452158212661743,6.513572692871094,0.026930596088341096,0.8494891532128651,0.0,0.0,3.3741342898098776,5.441378076884025,1.013809790183451,13.570020198822021
35,1516306.4896402329,1183013.5647806285,0.0,0.0,False,False,,0.08333333333333333,4.617240255152947,2.4274094857316255,0.23087759035427532,4.195167936489077e-14,0.006984931692937062,0.006416580768348718,0.0051601712070191985,1.2089918037950944e-06,2.29899525642395,1.0846803188323975,8.057543174142587e-06,0.32753757491097424,0.0,0.0,2.4326245350629164e-15,5.622670771096859e-15,0.6450192374391255,13.342124223709106
