number,value,datetime_start,datetime_complete,duration,params_collision_constraint_timeout_sec,params_collision_force_attack_hz,params_collision_force_max,params_collision_force_max_per_contact,params_collision_force_release_hz,params_collision_force_scale,params_collision_force_slew_rate,params_collision_guard_distance,params_collision_influence_distance,params_collision_normal_damping,params_collision_normal_fade_power,params_collision_normal_force_max,params_collision_safe_distance,params_collision_tangent_force_max,params_collision_tangent_force_ratio,params_collision_tangent_gain,params_collision_tangent_gamma_power,params_collision_tangent_speed_scale,params_collision_tangent_velocity_deadband,params_collision_task_distance,state
10,12267.571749011884,2026-05-03 16:29:29.291647,2026-05-03 16:30:01.870097,0 days 00:00:32.578450,0.20350476562622505,17.485207971710167,5.609164730618692,8.883073988294422,14.557719085407076,0.916800512529247,139.40747553129196,0.020647712788061028,0.05377850241204882,14.391365973980417,1.0761770706220424,6.647763384709729,0.023137260652537836,3.2675926753396562,0.5166493317588704,2.218780554740074,2.156333796570057,0.1448766811550311,0.01787144643068051,0.0074850659669063535,COMPLETE
11,14718.416864269344,2026-05-03 16:30:01.871800,2026-05-03 16:30:37.371096,0 days 00:00:35.499296,0.25559026415253305,20.038304944617085,3.9457798929613483,8.856323834083227,11.044911499127315,0.5253372195312289,114.62717249422002,0.018817438656505665,0.04994556522533338,22.71396007759188,0.9345629753542904,6.975402728271129,0.02864693856162214,3.2510769390987044,0.5409826699259469,1.9778365662330915,1.6384508463617173,0.06483130243638999,0.011939150641583315,0.005360390402605767,COMPLETE
12,733.7720528645413,2026-05-03 16:30:37.372653,2026-05-03 16:31:11.116002,0 days 00:00:33.743349,0.27285647406794755,8.05198295103091,2.6147131480830286,9.62236476245952,8.144183082394424,0.6680752876491638,132.0152041930177,0.020549012919696453,0.031128677635305548,19.71660187971547,0.8384688383542673,7.84027709275179,0.03103111783322019,4.645295446602658,0.5728214728886518,1.085802757023354,1.6206800066397082,0.050665295174073005,0.016216353006085975,0.004008026556883557,COMPLETE
13,1000000000.0,2026-05-03 16:31:11.117024,2026-05-03 16:31:11.121555,0 days 00:00:00.004531,0.3495358171606272,8.34799353140358,2.3789432516884372,8.915550537998703,5.023627820585682,0.9142956503322384,131.5590097123442,0.02470167999136492,0.04463402888000221,22.587658422666244,1.3193910736547005,7.9570632876570135,0.023806409167073772,4.435075383736577,0.5766816598769385,2.343190201219925,2.271468881841675,0.039037787812356506,0.01979386147591798,0.0031207383466234327,COMPLETE
14,20024.014055229905,2026-05-03 16:31:11.122193,2026-05-03 16:31:48.747039,0 days 00:00:37.624846,0.24825250671839763,11.873205459598527,6.167754195146713,7.6005564327096815,20.303778516328272,0.7556318364019872,137.38599170047124,0.015558076966502042,0.06008355240416417,9.20170716255997,1.0750369910007103,4.261755228581042,0.03401831609106694,2.516449686880607,0.43061443371119645,1.5066651156505784,2.14663724819431,0.13244406749313128,0.01932690169400015,0.010984161039601351,COMPLETE
15,21263.740305180054,2026-05-03 16:31:48.748496,2026-05-03 16:32:21.227160,0 days 00:00:32.478664,0.1815640669353107,16.033817860847346,6.622109568514638,9.282304131714262,22.823553923533517,1.1449967897790136,138.35978255368684,0.024876872357720473,0.07062238703862805,20.425030959129153,1.0526028539837047,6.7995028198586915,0.027174386822852524,2.566871887252251,0.5008549010271788,1.2198952177877098,2.5883313316205787,0.12652335249400157,0.017741446790752943,0.00417178730577715,COMPLETE
16,1000000000.0,2026-05-03 16:32:21.228845,2026-05-03 16:32:21.235830,0 days 00:00:00.006985,0.24053497714069028,10.143158491264586,3.595758037310492,8.064832737270262,6.181799917424417,0.5329226931917461,129.0129875624242,0.018214847915052873,0.02023654244331455,21.717671181004793,1.3081272007751752,8.077735166379922,0.026288693719151608,6.637453272581659,0.5631486850238503,1.5345419752837328,1.3234513875449883,0.08493817008316126,0.022239039311783726,0.006397035911226822,COMPLETE
17,13907.041094456305,2026-05-03 16:32:21.236299,2026-05-03 16:32:56.757086,0 days 00:00:35.520787,0.26845907785287537,9.641517536788214,3.3302456356105656,7.344628103382532,17.12199954468492,1.102947935932733,138.0915563575615,0.017704693244583236,0.029821006664108096,14.269794605300694,0.7573061885863581,8.254190162898983,0.024975420905655826,6.539093959307756,0.43603699597181117,2.1942415686635637,1.582305227180072,0.03194486008876997,0.011786441867620925,0.0078868610715586,COMPLETE
18,17093.40714150547,2026-05-03 16:32:56.758651,2026-05-03 16:33:29.138108,0 days 00:00:32.379457,0.26906081474170646,19.424392940816514,5.918047893388071,6.229027331434056,10.915717013394197,1.3791017182781435,128.25501153466487,0.014988506929769111,0.02838779953344869,14.751747413679405,1.3121031352072876,6.770264083196368,0.024064452534128096,3.1691749467689347,0.5251940205950715,0.6487597090869355,2.4179056734048485,0.12381501321864707,0.02167452142403492,0.0036427900537575543,COMPLETE
19,12805.097644795087,2026-05-03 16:33:29.139991,2026-05-03 16:34:03.641066,0 days 00:00:34.501075,0.11049201835943227,15.755063030470955,6.977115243417771,9.663989757568903,10.290129649688911,0.7478419441239454,148.47608520019793,0.017155412551680238,0.045250494326768205,11.407298026759165,0.7876126197956301,5.929527541848069,0.01777601458084797,2.9497466065480507,0.4307007235822727,1.6366389125117293,2.1468171765987547,0.12156879644016468,0.0139048051161588,0.009216648248723307,COMPLETE
20,21246.25250761937,2026-05-03 16:34:03.642742,2026-05-03 16:34:42.035114,0 days 00:00:38.392372,0.29138471859277915,15.754636412678094,2.147052109450171,5.509095881724705,19.589431224192758,0.6980164142388895,128.65573800605526,0.027264778147590082,0.03309416866535758,21.498271458855918,1.2844292907777222,8.796105570462732,0.0320856824788639,4.138398204638241,0.5032210941638516,1.9762138730913648,1.145909281528898,0.03295756692134552,0.024071365884689222,0.0025670716859688358,COMPLETE
21,21509.830315754793,2026-05-03 16:34:42.036751,2026-05-03 16:35:18.520913,0 days 00:00:36.484162,0.16374284080547497,12.399731587814156,7.430499024028946,7.792927515150937,6.478755170432104,0.8762141102573191,136.32070748371427,0.011307944643866412,0.0320166879824188,13.659849647280181,1.02689995187377,5.32460166966166,0.0218711461888797,3.509484568638422,0.3700482160456472,2.5795208783641783,1.9805858783976817,0.1434255253456907,0.013096137505571363,0.008375506347338007,COMPLETE
22,1000000000.0,2026-05-03 16:35:18.522507,2026-05-03 16:35:18.529506,0 days 00:00:00.006999,0.14351470807387848,25.87115688065688,7.569119167379277,8.46313979669341,11.01583730771146,0.5849864250824315,109.50343130582286,0.021516935742660115,0.0544375345403843,6.619848009463289,0.8479372967759861,4.962176322742321,0.012600354506164462,4.499847575869855,0.4611767262580797,2.061523695569861,2.8261551725163447,0.13353917998579604,0.011067551849393347,0.008555855731202407,COMPLETE
23,1000000000.0,2026-05-03 16:35:18.530848,2026-05-03 16:35:18.535746,0 days 00:00:00.004898,0.28220492135169706,19.970973509178464,2.3686829771354714,8.615613905489539,15.366426563793294,0.9218788568007229,144.6841004039083,0.01934950507395449,0.05834290896577159,16.000365521308936,0.8524361856449829,8.675174146590685,0.010134935541343187,3.233934241872301,0.5002143020358275,2.4916096669374084,2.442366823490559,0.13999309625690073,0.013677641657429886,0.004917570585929443,COMPLETE
24,21440.486741298628,2026-05-03 16:35:18.536519,2026-05-03 16:35:50.957103,0 days 00:00:32.420584,0.08361031826536139,17.83151745899285,5.810941876617887,9.907328892884593,20.281888243163827,0.6702475630803034,144.21328582895137,0.016402927987394077,0.04004558846773597,10.63811427893698,1.212023537172163,4.117234495967067,0.0164045386587553,3.5204376348082524,0.3617653005907172,1.5206875524886037,2.021706382522469,0.13011554346116444,0.021800459106039588,0.010807584200900817,COMPLETE
25,1398.2200587980155,2026-05-03 16:35:50.958787,2026-05-03 16:36:25.536791,0 days 00:00:34.578004,0.14199577494245202,8.858935040203791,5.3534206652806935,8.309643674438776,8.78480039118434,1.304726905038658,122.88945770745462,0.016438352514276427,0.05735882962305758,17.60463915919904,1.3592689088948682,5.919778508060094,0.02272314900255637,3.078719661011554,0.5574732600469952,2.936289521010826,1.7298631838163425,0.1264114144428318,0.02780165384295929,0.0067641585466944295,COMPLETE
26,17564.46473328862,2026-05-03 16:36:25.538414,2026-05-03 16:36:58.008143,0 days 00:00:32.469729,0.10810945627657936,10.545708775464389,6.1398755931953435,8.33928927127828,10.081870024974188,1.2893570742494842,128.15365785553104,0.009611959622836359,0.06831752672625652,17.333754031073216,0.7064162490714151,7.357261602986987,0.023357432884377194,3.75439918651296,0.49502860730811044,2.4776530549286595,1.8395438241038107,0.11973425466609,0.02863677939718892,0.0048860584688812415,COMPLETE
27,21827.731431087526,2026-05-03 16:36:58.009870,2026-05-03 16:37:29.646943,0 days 00:00:31.637073,0.08315770785758567,9.101891903501981,6.291429670694498,7.056398586090213,10.433328591111525,1.2760528310001773,134.69678633828352,0.023977542929308645,0.04673157326190357,16.829057449704482,1.5410298364247332,4.912110785977558,0.026913931239206053,4.2424720770554085,0.5914152381087086,1.6753185498276137,1.2303593059232438,0.13524594794743008,0.02987035590813253,0.008834380058156783,COMPLETE
28,1000000000.0,2026-05-03 16:37:29.647651,2026-05-03 16:37:29.651959,0 days 00:00:00.004308,0.08182306453512925,13.662223258633936,2.692646705130362,9.96695825758204,9.244261094350678,1.259569051610786,90.49785452626625,0.01954753376421331,0.03685683562472716,20.34055324011134,1.6891258204722004,5.589099249418664,0.016423569281663716,2.3352786284196765,0.5229657038214142,3.1906237354646616,1.681170788490192,0.06761373623361443,0.029050684197219536,0.007407320414217675,COMPLETE
29,1000000000.0,2026-05-03 16:37:29.652529,2026-05-03 16:37:29.662429,0 days 00:00:00.009900,0.16015898643938395,12.300601883273618,4.137475132521698,8.959806622727376,11.290442697803796,0.4134468195355846,147.47347053961252,0.0281298926461956,0.05110879246316051,17.1811707375303,1.0332351458168907,7.608695602085191,0.024408744191327728,2.4089003791415586,0.3973229545473421,0.8160900262228155,2.017469665972346,0.14270018132159526,0.02398231293732967,0.0063367865057639,COMPLETE
30,21964.441516082807,2026-05-03 16:37:29.662963,2026-05-03 16:38:04.880127,0 days 00:00:35.217164,0.18279972380332704,9.897779485933112,2.9646051364873367,9.520405732284285,7.840946368391279,0.8129110177251393,143.59110244910528,0.012594377367272182,0.031002490444467783,23.684877814480956,1.0346598528765998,8.338486099031686,0.022668908359063863,5.087863477969236,0.5855468120175379,0.6501053753746058,2.1402736663857005,0.05008071877406705,0.0064900773576531835,0.0035559639737254836,COMPLETE
31,1000000000.0,2026-05-03 16:38:04.881819,2026-05-03 16:38:04.895176,0 days 00:00:00.013357,0.2935437565891072,9.503104947211277,3.4807815234955473,8.516047609624263,8.591763901249852,0.6617511141863232,131.7214676286969,0.022451073251278483,0.027873535708765735,21.140777468407865,0.9377744038528587,6.333431248134929,0.03968668210630911,2.0143578094608787,0.5263966269137289,1.3844058816170977,1.2826042990696989,0.031150618458334743,0.011151888131808937,0.005620072237300605,COMPLETE
32,21996.029248603252,2026-05-03 16:38:04.896226,2026-05-03 16:38:43.266138,0 days 00:00:38.369912,0.1082122837288591,13.907134765106203,7.403940972459372,9.554826456138045,11.494845885942908,0.9937563811908486,122.94582623680516,0.02665204797593662,0.04413623935604418,5.568467913936475,0.8732069187544196,6.978468370886311,0.028909871865187807,5.49454574110068,0.3355007008846316,1.9647857809419178,2.125174607559544,0.11759175766809524,0.019138215043604256,0.01066825730201799,COMPLETE
