trial,m_pos_min,m_pos_max,k_pos_min,k_pos_max,zeta_pos,adaptive_lambda,adaptive_alpha_pos,i_gain_pos,i_gain_ori,i_clamp_pos,i_clamp_ori
22,0.0605193500713353,0.4204865942239285,147.39015448679984,2446.5346903868653,0.6846104666739421,92.03773331239843,30.24098438217711,737.439387939782,21.107009624617834,0.04655750078290239,0.006279934541296599
23,0.026443817756699597,0.34613739722761305,213.0286088229275,2696.5439178414845,0.7605760668761876,69.43520143822425,47.36810635530645,1263.0202840173827,53.82606524439732,0.036795515703199916,0.009724565614277772
24,0.011574648678231953,0.3630088998878018,273.4544057943095,2307.827757227218,0.7758410371481608,28.39534701465334,42.7165562524654,1449.287710480319,58.13517038043848,0.04422813687542401,0.007488904971734088
25,0.0025815821290738825,0.3541478298106697,130.08105072175627,2768.572897233704,0.808037547841005,65.06491609440002,43.42043958755423,1223.4401410530934,63.428672185641794,0.017757102760118056,0.009138060369352923
26,0.033423998846765696,0.19573353938427213,276.08238425659374,2818.616258176047,1.122161188795951,71.52300399047702,49.492103397021225,1162.4857623557623,76.46154409344561,0.03703769643622382,0.008909547699785036
27,0.015462620803492201,0.22133897698105504,316.31475954263567,2169.080567806352,0.6009624940872186,78.67932503023253,38.183123700359275,1433.9347663847661,72.06297342260547,0.026057382372840297,0.00950503422982071
28,0.0728543593102082,0.279549042096294,129.46188430841772,1822.3653170110586,0.5130555984927325,69.24684526313854,10.123912987385394,357.7370300876038,49.40542005619908,0.007340173237714289,0.008596798283035806
29,0.02400416338848451,0.2768320292963403,236.8589007679636,2893.5298617901326,0.5987898565714574,90.24363508133695,38.671805763445136,710.1433606142093,90.99703383904827,0.042078432781507566,0.009374855870426416
30,0.06114507641911724,0.3639839120845728,368.3922722336097,2013.9710675808028,0.5990698772316149,75.27595876202145,25.76007873170197,533.0089089478081,50.799519511371315,0.006888409748412202,0.009052353790701118
31,0.07858812623186968,0.4169202997578295,386.4845618309012,2004.531184504142,0.5459004226886454,80.88908775565615,24.759677894843335,340.93918084629024,46.8089687757852,0.002281455008608788,0.007768477387183389
32,0.07504965927016724,0.42371921634353105,391.6122859618515,1994.5601391608704,0.5671652840044238,82.18313035902776,25.022561989077538,342.12405327051465,64.02244741511154,0.0032150860529087995,0.006476491605286827
33,0.08873557046498223,0.41718073276840434,497.5566592649625,1826.5462006569528,0.6170769809222916,88.99877331233637,46.706896227144284,469.6324250270819,71.54641338380152,0.004137158074555598,0.008535482422109913
34,0.056970748528169995,0.3576897242044602,332.11430049872536,1457.554379418727,0.5049960875080022,74.06051475306677,19.23152725012382,353.1429437456696,58.401327944083704,0.015146501255169816,0.004151960844967712
35,0.06618203251251767,0.435718430052484,416.97482666258844,2323.6214230122373,0.5656271238286336,99.13428573264088,14.008558447334496,530.571188987355,76.0422584746928,0.015239961686452898,0.004544867935253646
36,0.06885431810513519,0.4885467875381639,286.2133289642053,1972.2442776839987,0.5489900408321157,87.89485019283741,36.97347535747517,488.19362985386215,22.69082631751607,0.003440622153833683,0.005090886071813945
37,0.09658062125083358,0.4352070333396669,223.018029551168,2035.176245557342,0.5806048674122959,88.2451678927853,41.80112253746341,836.1125745087861,26.211364664923433,0.007982744477463083,0.004306590521936009
