trial,collision_k_rep,collision_normal_damping,collision_tangent_gain,collision_tangent_damping
96,0.0003698395758364196,15.245896569511942,2.1515917083820115,0.6836851008234959
97,6.421347261722037e-05,23.12042358866649,5.391402322097758,2.5344879371913316
98,0.00014982927677430633,8.93622268215162,6.337169079565315,4.547571334266189
99,0.00017366688250527884,11.498564944771333,14.427951069756505,2.0956133324928445
100,0.0002081958738333023,13.327439123871688,7.799223367321269,3.2461388085625136
101,0.0002642065456172205,7.3100683592529085,6.775473901191626,1.800781081341246
102,0.0003404803181069552,8.8545544357733,7.725584958822536,2.0382664204324397
103,0.00026718586558865606,10.543550259072067,6.048810735853947,1.1493171513270275
104,0.00014703114453625574,6.524858698277907,8.949522541704258,3.1275144136810984
105,0.00031137904605386724,4.641708140028873,7.99515281100198,1.095045632338429
106,0.0004244688854675811,13.950675570709217,1.5903749764123012,3.3539196546498466
107,0.00031175304984517525,24.686049203788873,13.960246995848278,3.2343693019091933
108,0.00016248630192704764,17.609461584494092,14.19210985188327,4.804692206907391
109,7.443053402115543e-05,7.91147529142769,8.870283067563356,4.56219661517443
110,0.00014796292330708394,10.246382089723355,4.987615259639028,1.1641540964961
111,0.00017176250218032315,2.5836619658150117,1.1099950700143655,1.1561510720747898
112,0.00023393461814858293,6.165522684056119,7.5872303278575615,1.3611396774622664
113,0.0001559374930916052,2.0764275451837615,6.242151844691226,0.9397733644848476
114,5.10347242534153e-05,9.78288792931319,9.471671362594767,3.0310214992927333
115,0.00023148275390354027,7.576782816323608,3.2498485809910083,1.7174959008881827
116,0.00020374471753675986,10.759186213445863,12.348957319613273,0.17743969838348067
117,0.0004964821480073875,18.237250070191635,13.14505954148591,3.0225369455177846
118,7.170768011361024e-05,6.234349380532425,2.0188429535671735,3.9094872552375493
119,0.000206612767731187,6.4570781471036405,3.3945788703030377,4.10635481842516
120,9.821237661465721e-05,7.955841416058862,6.599545217604696,3.9896959000956085
121,0.0001320705292205004,5.047527263088086,3.25493654115811,3.92861979017023
122,0.000273999993257936,10.379794195836734,4.767550243498375,2.1175756635835032
123,0.00021850020754779115,8.950548134136358,1.0712794257434437,1.3795829795429506
124,5.269573922695578e-05,8.261857201131612,3.379214562063935,4.17861876243284
125,6.720707856496831e-05,3.9932245782718936,1.0230530134898674,3.783606478158228
126,0.00018787086213949586,7.82916429624444,14.832916349329897,1.1781946111602122
127,7.79233633113158e-05,4.235962804122019,7.013443772038536,1.4061256702599438
128,0.00015721084074521495,7.736189582940008,1.919464664254948,0.20484071655761782
