trial,cost,best_cost_so_far,is_best,safety_fail,fail_reason,min_distance,penetration_depth,force_jitter,velocity_spike,max_force,progress_error,arrival_jitter,final_error,error_at_stop,dynamic_tracking_error
68,16057.224695930978,12920.827438350736,False,False,,0.01925566307664533,0.0,0.13438427351879245,0.16781549497469306,7.318943727627561,0.0,1.2164881934610987e-16,4.3075211507372143e-16,0.04434869152525023,0.03417790871503684
69,16270.87246922938,12920.827438350736,False,False,,0.019279525581015203,0.0,0.12881585960070474,0.395893456431245,7.328665125676875,0.0,1.4614262443894967e-16,1.0801924018279187e-16,0.04527875630702019,0.03507684969943766
70,15907.31733719831,12920.827438350736,False,False,,0.019527605581898665,0.0,0.07891613239879372,0.07693716211768004,5.0709371171488975,0.0,8.333113087626143e-17,2.432694568663946e-16,0.04363456295819976,0.03376276567886385
71,15256.271067610636,12920.827438350736,False,False,,0.019479346483117353,0.0,0.08412335926965074,0.15108621321703344,4.202074224184259,0.0,4.524087740472006e-16,2.522448769359441e-15,0.03993531221951456,0.03349145749103304
72,15510.956810686075,12920.827438350736,False,False,,0.018524804115939618,0.0,0.07461382713483368,0.2312609362539557,3.7641351452245067,0.0,5.966711953507613e-17,4.976242359565831e-17,0.041259162280399664,0.03432472160659251
73,16267.007121690516,12920.827438350736,False,False,,0.01904422251642483,0.0,0.09020337380861872,0.29342127120252354,5.352289244854367,0.0,5.162813926989687e-16,2.963879594160139e-15,0.04538469704794934,0.03456723012859211
74,16007.694448213439,12920.827438350736,False,False,,0.019325889402122782,0.0,0.04973571718024964,0.17420262120198546,2.6624197940404546,0.0,1.0193921713804623e-16,3.020221158304555e-16,0.04409026303685715,0.03411979147972404
75,15073.388063618466,12920.827438350736,False,False,,0.017908963556322793,0.0,0.13562988112786475,0.11435198210032957,7.341211975675803,0.0,1.5806001085572596e-16,1.0834651984597626e-16,0.038944808714038506,0.033670604615050954
76,17659.735395696276,12920.827438350736,False,False,,0.017125037903783842,0.0,0.136019604756232,0.4139826122326754,7.340967320863197,0.0,1.3414206829312155e-15,1.1859534693512434e-15,0.052973054502154365,0.034988082623933284
77,22091.23826835735,12920.827438350736,False,False,,0.01681845525554923,0.0,0.1626378854520408,0.10718886930596427,7.32427150540263,0.0,9.811901458616659e-17,1.724154299831783e-16,0.07789773133026441,0.04007696077594613
78,16027.370173812998,12920.827438350736,False,False,,0.019533621360637732,0.0,0.09574509214912244,0.0929717346609292,5.944546570648322,0.0,7.859831709581996e-17,1.8451979710258563e-16,0.04427618612838853,0.03427506916340827
79,16463.567032914467,12920.827438350736,False,False,,0.015264084638964342,0.0,0.1363792291550687,0.5904051398366335,7.336151411970319,0.0,4.7440049160496154e-15,4.4205469921027625e-15,0.04613975367399302,0.03351138216988628
80,15895.258637729123,12920.827438350736,False,False,,0.019036247615766826,0.0,0.10255620909343158,0.12938233075143651,6.505832952709983,0.0,1.173464983535038e-16,4.970606352079949e-16,0.04350068962787318,0.03413022810696966
81,15086.270618396426,12920.827438350736,False,False,,0.018498373609390276,0.0,0.12737748186765588,0.18256394761054437,7.31530466105006,0.0,5.06133439747725e-16,3.390339040997017e-16,0.038940881687841516,0.034030250969382565
82,15874.70447180042,12920.827438350736,False,False,,0.01951785556025184,0.0,0.12028252665731633,0.11087566254202164,7.315409605651726,0.0,2.311760789741421e-16,1.248817697583726e-15,0.04340100458115401,0.034334388351381355
83,13202.23027490287,12920.827438350736,False,False,,0.01564086978161303,0.0,0.12858444162597077,0.4610273497374753,5.3197936194042255,0.0,5.855372220839806e-16,4.741424324537403e-16,0.028167788751740752,0.03339360756064785
84,15080.459258505423,12920.827438350736,False,False,,0.01724080419428678,0.0,0.15186108166439513,0.6667390308508914,4.994935754653078,0.0,8.435338108688023e-16,5.063508479322077e-15,0.03838563368981418,0.03010433408529458
85,17638.01913676456,12920.827438350736,False,False,,0.016755436184118646,0.0,0.1534705000307731,0.1610082042808822,7.3324179773510485,0.0,2.699453337029094e-16,8.799068905431498e-16,0.05309230409600166,0.041529233626496236
86,15706.185814865847,12920.827438350736,False,False,,0.019156284134035462,0.0,0.12321554977129123,0.14607587361199728,7.323049888973103,0.0,1.2844541336314028e-16,6.999551784391716e-16,0.042427304211827624,0.033895104525885754
